书名,价格,评论数,出版社,出版年份,好评,中评,差评
包邮【附导读手册】人工智能时代与人类未来 基辛格作品 亨利·基辛格等著 论中国 世界秩序作者新书 中信出版社图书,￥44.00,2000,中信出版社,2023-06-01,300,4,2
人工智能：现代方法（第4版）（上下册）,￥99.00,200,人民邮电出版社,2022-12-01,30,0,0
从零开始学人工智能一本书读懂、玩透、玩转人工智能的概念与应用！从业10多年的人工智能老专家，手把手教你，10多个行业，30多个精彩案例，帮你从新手成为高手！　搜【图书企业购】享特权，团购专线400-026-0000,￥27.20,10000.0,清华大学出版社,2021-08-01,1600,20,20
这就是ChatGPT！揭开AIGC神秘面纱！OpenAI CEO 山姆·阿尔特曼（Sam Altman）强烈推荐！（图灵出品）OpenAICEO山姆·阿尔特曼强力推荐，沉浸于神奇人工智能的海洋，与您一同探寻人工智能无尽可能性，与ChatGPT一同开启对话的奇妙旅程！,￥29.90,200000.0,人民邮电出版社,2023-07-01,79000,200,100
包邮 生成式人工智能：AIGC的逻辑与应用 丁磊著 杨强 杨先一 韦青 杨超 史喆推荐 带你读透AIGC ChatGPT横空出世 GPT不断迭代 中信出版社图书一本书带你读透AIGC!杨强、杨先一、韦青、杨超、史喆联袂推荐。,￥34.50,1000,中信出版社,2023-04-01,100,1,1
人工智能与ChatGPT（新时代·科技新物种）一本书全面掌握ChatGPT，既有向ChatGPT提问的技巧，也有构建自己的ChatGPT模型的方法，涵盖开发背景、关联技术、使用方法、应用形式、实用案例等,￥45.10,10000.0,清华大学出版社,2023-07-01,3200,10,10
人工智能（第3版）（异步图书出品）美国经典人工智能教材第3版，人工智能的百科全书，新增深度学习及人工智能编程等内容，理论阐释结合动手实践，附赠PPT课件、配套视频及代码文件。,￥69.80,100000.0,人民邮电出版社,2023-11-01,72000,200,100
人工智能 现代方法 第4版(上下册全2册) 【新华书店 正版速发】 图书新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,￥99.00,100,人民邮电出版社,2022-12-01,10,0,0
人工智能：现代方法（第4版）揭示AI与chatgpt的奥秘，详解人工智能的发展与未来！（异步图书出品）系统性总结人工智能的方方面面，国际人工智能领域专家斯图尔特·罗素撰写人工智能百科书，时隔十年重磅更新，被全球全球1500多所学校采用的经典教材,￥99.00,200000.0,人民邮电出版社,2022-12-01,73000,200,200
包邮【湛庐旗舰店】AI3.0 畅销书《复杂》作者梅拉妮米歇尔全新力作全人脸识别科技趋势人工智能 sora正版图书籍,￥49.90,1000,四川科学技术出版社,2021-02-01,100,0,0
